"measure","value","units","category","scenario","climset","period","strategy","value_hist","pctchange"
"BoyleReach Mean Ann Fishing Days",198.1667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",154.9,27.9320206584893
"HellsCornerReach Mean Ann Fishing Days",275.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",220.4333,25.0113753230569
"IGScottReach Mean Ann Fishing Days",285.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Fishing Days",216.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",183.9667,17.5575253564911
"SalmonTrinityReach Mean Ann Fishing Days",249.5333,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Fishing Days",281.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",252.9333,11.3205339115095
"KenoReach Mean Ann Boating Days",142.1333,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",171.8,-17.2681606519209
"BoyleReach Mean Ann Boating Days",51,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",59,-13.5593220338983
"HellsCornerReach Mean Ann Boating Days",168.1,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",256,-34.3359375
"IGScottReach Mean Ann Boating Days",285.0333,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Boating Days",261.5667,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",249.2333,4.94853617072839
"SalmonTrinityReach Mean Ann Boating Days",249.5333,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Boating Days",281.5667,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",252.9333,11.3205339115095
"Mean Project Supply (Apr-Sep)",317.8179,"KAF","Water Delivery","HD","CMIP3",2070,"Baseline",361.3104,-12.0374337411821
"Mean Annual UKL Stg and Inflow",1195.9243,"KAF","Water Delivery","HD","CMIP3",2070,"Baseline",1377.9978,-13.2129020815563
"Mean Annual Shasta Flow",159.4919,"cfs","Water Delivery","HD","CMIP3",2070,"Baseline",187.6871,-15.0224495982942
"Mean Annual Scott Flow",547.4564,"cfs","Water Delivery","HD","CMIP3",2070,"Baseline",668.7854,-18.1416938826715
"Mean Annual MWAT",82.7394,"degF","Water Quality","HD","CMIP3",2070,"Baseline",75.7443,9.23515036775045
"Mean exceedence of MWAT - Poor",19.0594,"degF","Water Quality","HD","CMIP3",2070,"Baseline",12.0643,57.9818141127127
"Frequency Meeting Dry Year Fish Targets Scott",58.5014,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add Flow
10%",70.5029,-17.0227040306143
"Frequency Meeting Dry Year Fish Targets Shasta",47.0841,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add Flow
10%",56.8769,-17.2175347109283
"Mean Percent of Annual Refuge Demand",8.692,"% of Years","Ecological Resources","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Mean Annual Hydropower Generated (MW)",22661.943,"MW","Hydropower","HD","CMIP3",2070,"Add Flow
10%",26741.1142,-15.254305297421
"Boyle Mean Spill Volume per year",216.5871,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Volume per year",243.2811,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Iron Gate Mean Spill Volume per year",485.9708,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Boyle Mean Spill Days per year",156.5667,"days","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Days per year",37.5333,"days","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"IronGate Mean Spill Days per year",110.1,"days","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Freq of UKL Flood Control Release",34.389,"Percent of Days","Flood Control","HD","CMIP3",2070,"Add Flow
10%",44.1179,-22.0520469015978
"Mean Ann UKL Flood Control Release Volume",226.2618,"KAF","Flood Control","HD","CMIP3",2070,"Add Flow
10%",224.4786,0.794374163060529
"KenoReach Mean Ann Fishing Days",265.1,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",247.6667,7.03901654925754
"BoyleReach Mean Ann Fishing Days",198.1667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",154.9,27.9320206584893
"HellsCornerReach Mean Ann Fishing Days",275.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",220.4333,25.0113753230569
"IGScottReach Mean Ann Fishing Days",285.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Fishing Days",216.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",183.9667,17.5575253564911
"SalmonTrinityReach Mean Ann Fishing Days",249.5333,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Fishing Days",281.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",252.9333,11.3205339115095
"KenoReach Mean Ann Boating Days",142.1333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",171.8,-17.2681606519209
"BoyleReach Mean Ann Boating Days",51,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",59,-13.5593220338983
"HellsCornerReach Mean Ann Boating Days",168.1,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",256,-34.3359375
"IGScottReach Mean Ann Boating Days",285.0333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Boating Days",261.5667,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",249.2333,4.94853617072839
"SalmonTrinityReach Mean Ann Boating Days",249.5333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Boating Days",281.5667,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",252.9333,11.3205339115095
"Mean Percent Full Supply (Apr-Sep)",81.4918,"%","Water Delivery","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Mean Annual UKL Stg and Inflow",1195.9243,"KAF","Water Delivery","HD","CMIP3",2070,"Add Flow
10%",1377.9978,-13.2129020815563
"Mean Annual Shasta Flow",159.4919,"cfs","Water Delivery","HD","CMIP3",2070,"Add Flow
10%",187.6871,-15.0224495982942
"Mean Annual Scott Flow",547.4564,"cfs","Water Delivery","HD","CMIP3",2070,"Add Flow
10%",668.7854,-18.1416938826715
"Mean Annual MWAT",82.2611,"degF","Water Quality","HD","CMIP3",2070,"Add Flow
10%",75.7443,8.60368370953326
"Mean exceedence of MWAT - Poor",18.5811,"degF","Water Quality","HD","CMIP3",2070,"Add Flow
10%",12.0643,54.0172243727361
"Frequency Meeting Dry Year Fish Targets Scott",58.5014,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add Flow
20%",70.5029,-17.0227040306143
"Frequency Meeting Dry Year Fish Targets Shasta",47.0841,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add Flow
20%",56.8769,-17.2175347109283
"Mean Percent of Annual Refuge Demand",8.692,"% of Years","Ecological Resources","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Mean Annual Hydropower Generated (MW)",22661.943,"MW","Hydropower","HD","CMIP3",2070,"Add Flow
20%",26741.1142,-15.254305297421
"Boyle Mean Spill Volume per year",216.5871,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Volume per year",243.2811,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Iron Gate Mean Spill Volume per year",485.9708,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Boyle Mean Spill Days per year",156.5667,"days","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Days per year",37.5333,"days","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"IronGate Mean Spill Days per year",110.1,"days","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Freq of UKL Flood Control Release",34.389,"Percent of Days","Flood Control","HD","CMIP3",2070,"Add Flow
20%",44.1179,-22.0520469015978
"Mean Ann UKL Flood Control Release Volume",226.2618,"KAF","Flood Control","HD","CMIP3",2070,"Add Flow
20%",224.4786,0.794374163060529
"KenoReach Mean Ann Fishing Days",265.1,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",247.6667,7.03901654925754
"BoyleReach Mean Ann Fishing Days",198.1667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",154.9,27.9320206584893
"HellsCornerReach Mean Ann Fishing Days",275.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",220.4333,25.0113753230569
"IGScottReach Mean Ann Fishing Days",285.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Fishing Days",216.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",183.9667,17.5575253564911
"SalmonTrinityReach Mean Ann Fishing Days",249.5333,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Fishing Days",281.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",252.9333,11.3205339115095
"KenoReach Mean Ann Boating Days",142.1333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",171.8,-17.2681606519209
"BoyleReach Mean Ann Boating Days",51,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",59,-13.5593220338983
"HellsCornerReach Mean Ann Boating Days",168.1,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",256,-34.3359375
"IGScottReach Mean Ann Boating Days",285.0333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Boating Days",261.5667,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",249.2333,4.94853617072839
"SalmonTrinityReach Mean Ann Boating Days",249.5333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Boating Days",281.5667,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",252.9333,11.3205339115095
"Mean Percent Full Supply (Apr-Sep)",81.4918,"%","Water Delivery","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Mean Annual UKL Stg and Inflow",1195.9243,"KAF","Water Delivery","HD","CMIP3",2070,"Add Flow
20%",1377.9978,-13.2129020815563
"Mean Annual Shasta Flow",159.4919,"cfs","Water Delivery","HD","CMIP3",2070,"Add Flow
20%",187.6871,-15.0224495982942
"Mean Annual Scott Flow",547.4564,"cfs","Water Delivery","HD","CMIP3",2070,"Add Flow
20%",668.7854,-18.1416938826715
"Mean Annual MWAT",81.8763,"degF","Water Quality","HD","CMIP3",2070,"Add Flow
20%",75.7443,8.09565868322766
"Mean exceedence of MWAT - Poor",18.1963,"degF","Water Quality","HD","CMIP3",2070,"Add Flow
20%",12.0643,50.827648516698
"Frequency Meeting Dry Year Fish Targets Scott",58.5014,"% of Days","Ecological Resources","HD","CMIP3",2070,"Reduce Tribs
4degC",70.5029,-17.0227040306143
"Frequency Meeting Dry Year Fish Targets Shasta",47.0841,"% of Days","Ecological Resources","HD","CMIP3",2070,"Reduce Tribs
4degC",56.8769,-17.2175347109283
"Mean Percent of Annual Refuge Demand",8.692,"% of Years","Ecological Resources","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",22661.943,"MW","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",26741.1142,-15.254305297421
"Boyle Mean Spill Volume per year",216.5871,"KAF","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Volume per year",243.2811,"KAF","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",485.9708,"KAF","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Boyle Mean Spill Days per year",156.5667,"days","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Days per year",37.5333,"days","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"IronGate Mean Spill Days per year",110.1,"days","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Freq of UKL Flood Control Release",34.389,"Percent of Days","Flood Control","HD","CMIP3",2070,"Reduce Tribs
4degC",44.1179,-22.0520469015978
"Mean Ann UKL Flood Control Release Volume",226.2618,"KAF","Flood Control","HD","CMIP3",2070,"Reduce Tribs
4degC",224.4786,0.794374163060529
"KenoReach Mean Ann Fishing Days",265.1,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",247.6667,7.03901654925754
"BoyleReach Mean Ann Fishing Days",198.1667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",154.9,27.9320206584893
"HellsCornerReach Mean Ann Fishing Days",275.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",220.4333,25.0113753230569
"IGScottReach Mean Ann Fishing Days",285.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Fishing Days",216.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",183.9667,17.5575253564911
"SalmonTrinityReach Mean Ann Fishing Days",249.5333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Fishing Days",281.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",252.9333,11.3205339115095
"KenoReach Mean Ann Boating Days",142.1333,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Tribs
4degC",171.8,-17.2681606519209
"BoyleReach Mean Ann Boating Days",51,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Tribs
4degC",59,-13.5593220338983
"HellsCornerReach Mean Ann Boating Days",168.1,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Tribs
4degC",256,-34.3359375
"IGScottReach Mean Ann Boating Days",285.0333,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Tribs
4degC",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Boating Days",261.5667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Tribs
4degC",249.2333,4.94853617072839
"SalmonTrinityReach Mean Ann Boating Days",249.5333,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Tribs
4degC",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Boating Days",281.5667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Tribs
4degC",252.9333,11.3205339115095
"Mean Percent Full Supply (Apr-Sep)",81.4918,"%","Water Delivery","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1195.9243,"KAF","Water Delivery","HD","CMIP3",2070,"Reduce Tribs
4degC",1377.9978,-13.2129020815563
"Mean Annual Shasta Flow",159.4919,"cfs","Water Delivery","HD","CMIP3",2070,"Reduce Tribs
4degC",187.6871,-15.0224495982942
"Mean Annual Scott Flow",547.4564,"cfs","Water Delivery","HD","CMIP3",2070,"Reduce Tribs
4degC",668.7854,-18.1416938826715
"Mean Annual MWAT",79.3983,"degF","Water Quality","HD","CMIP3",2070,"Reduce Tribs
4degC",75.7443,4.82412537973156
"Mean exceedence of MWAT - Poor",15.7183,"degF","Water Quality","HD","CMIP3",2070,"Reduce Tribs
4degC",12.0643,30.2877083626899
"Frequency Meeting Dry Year Fish Targets Scott",58.5014,"% of Days","Ecological Resources","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",70.5029,-17.0227040306143
"Frequency Meeting Dry Year Fish Targets Shasta",47.0841,"% of Days","Ecological Resources","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",56.8769,-17.2175347109283
"Mean Percent of Annual Refuge Demand",8.692,"% of Years","Ecological Resources","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",22661.943,"MW","Hydropower","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",26741.1142,-15.254305297421
"Boyle Mean Spill Volume per year",216.5871,"KAF","Hydropower","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Volume per year",243.2811,"KAF","Hydropower","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",485.9708,"KAF","Hydropower","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Boyle Mean Spill Days per year",156.5667,"days","Hydropower","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Days per year",37.5333,"days","Hydropower","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"IronGate Mean Spill Days per year",110.1,"days","Hydropower","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Freq of UKL Flood Control Release",34.389,"Percent of Days","Flood Control","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",44.1179,-22.0520469015978
"Mean Ann UKL Flood Control Release Volume",226.2618,"KAF","Flood Control","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",224.4786,0.794374163060529
"KenoReach Mean Ann Fishing Days",265.1,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",247.6667,7.03901654925754
"BoyleReach Mean Ann Fishing Days",198.1667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",154.9,27.9320206584893
"HellsCornerReach Mean Ann Fishing Days",275.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",220.4333,25.0113753230569
"IGScottReach Mean Ann Fishing Days",285.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Fishing Days",216.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",183.9667,17.5575253564911
"SalmonTrinityReach Mean Ann Fishing Days",249.5333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Fishing Days",281.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",252.9333,11.3205339115095
"KenoReach Mean Ann Boating Days",142.1333,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",171.8,-17.2681606519209
"BoyleReach Mean Ann Boating Days",51,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",59,-13.5593220338983
"HellsCornerReach Mean Ann Boating Days",168.1,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",256,-34.3359375
"IGScottReach Mean Ann Boating Days",285.0333,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Boating Days",261.5667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",249.2333,4.94853617072839
"SalmonTrinityReach Mean Ann Boating Days",249.5333,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Boating Days",281.5667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",252.9333,11.3205339115095
"Mean Percent Full Supply (Apr-Sep)",81.4918,"%","Water Delivery","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1195.9243,"KAF","Water Delivery","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",1377.9978,-13.2129020815563
"Mean Annual Shasta Flow",159.4919,"cfs","Water Delivery","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",187.6871,-15.0224495982942
"Mean Annual Scott Flow",547.4564,"cfs","Water Delivery","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",668.7854,-18.1416938826715
"Mean Annual MWAT",79.7891,"degF","Water Quality","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",75.7443,5.34007179418122
"Mean exceedence of MWAT - Poor",16.1091,"degF","Water Quality","HD","CMIP3",2070,"Reduce Dam
Outflow
4degC",12.0643,33.5270177299968
"Frequency Meeting Dry Year Fish Targets Scott",64.5523,"% of Days","Ecological Resources","HD","CMIP5",2030,"Baseline",70.5029,-8.44022018952411
"Frequency Meeting Dry Year Fish Targets Shasta",51.9668,"% of Days","Ecological Resources","HD","CMIP5",2030,"Baseline",56.8769,-8.63285446288388
"Mean Annual Water Delivery to LKNWR",11.8981,"KAF","Ecological Resources","HD","CMIP5",2030,"Baseline",24.6143,-51.6618388497743
"Mean Annual Hydropower Generated (MW)",23340.3422,"MW","Hydropower","HD","CMIP5",2030,"Baseline",26741.1142,-12.7173908108885
"Boyle Mean Spill Volume per Year",183.0942,"KAF","Hydropower","HD","CMIP5",2030,"Baseline",163.0602,12.2862599211825
"Copco1 Mean Spill Volume per Year",203.2339,"KAF","Hydropower","HD","CMIP5",2030,"Baseline",186.3791,9.04328865200015
"Iron Gate Mean Spill Volume per Year",456.6857,"KAF","Hydropower","HD","CMIP5",2030,"Baseline",533.8601,-14.455922066474
"Boyle Mean Spill Days per Year",156.8,"days","Hydropower","HD","CMIP5",2030,"Baseline",105.9,48.0642115203022
"Copco1 Mean Spill Days per Year",37.1,"days","Hydropower","HD","CMIP5",2030,"Baseline",42.8,-13.3177570093458
"Iron Gate Mean Spill Days per Year",115,"days","Hydropower","HD","CMIP5",2030,"Baseline",170.3333,-32.4853096840136
"Freq of UKL Flood Control Release",38.213,"Percent of Days","Flood Control","HD","CMIP5",2030,"Baseline",44.1179,-13.384363262984
"Mean Ann UKL Flood Control Release Volume",215.3164,"KAF","Flood Control","HD","CMIP5",2030,"Baseline",224.4786,-4.08154719425371
"KenoReach Mean Ann Fishing Days",266.5333,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",247.6667,7.61773787109854
"BoyleReach Mean Ann Fishing Days",193.7667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",154.9,25.0914783731439
"HellsCornerReach Mean Ann Fishing Days",271.5667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",220.4333,23.1967674575484
"IGScottReach Mean Ann Fishing Days",287.5333,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",274.7333,4.65906389942537
"ScottSalmonReach Mean Ann Fishing Days",210.2333,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",183.9667,14.2779100782913
"SalmonTrinityReach Mean Ann Fishing Days",242.2667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",213.9333,13.2440344724267
"TrinityOceanReach Mean Ann Fishing Days",273.9667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",252.9333,8.31578918236547
"KenoReach Mean Ann Boating Days",152.0333,"days","Recreation Boating","HD","CMIP5",2030,"Baseline",171.8,-11.5056461001164
"BoyleReach Mean Ann Boating Days",46.6,"days","Recreation Boating","HD","CMIP5",2030,"Baseline",59,-21.0169491525424
"HellsCornerReach Mean Ann Boating Days",180.8667,"days","Recreation Boating","HD","CMIP5",2030,"Baseline",256,-29.3489453125
"IGScottReach Mean Ann Boating Days",287.5333,"days","Recreation Boating","HD","CMIP5",2030,"Baseline",274.7333,4.65906389942537
"ScottSalmonReach Mean Ann Boating Days",260.2333,"days","Recreation Boating","HD","CMIP5",2030,"Baseline",249.2333,4.41353543045812
"SalmonTrinityReach Mean Ann Boating Days",242.2667,"days","Recreation Boating","HD","CMIP5",2030,"Baseline",213.9333,13.2440344724267
"TrinityOceanReach Mean Ann Boating Days",273.9667,"days","Recreation Boating","HD","CMIP5",2030,"Baseline",252.9333,8.31578918236547
"Mean Project Supply (Apr-Sep)",339.2009,"KAF","Water Delivery","HD","CMIP5",2030,"Baseline",361.3104,-6.11925369433042
"Mean Annual UKL Stg and Inflow",1247.6567,"KAF","Water Delivery","HD","CMIP5",2030,"Baseline",1377.9978,-9.4587306307746
"Mean Annual Shasta Flow",173.1132,"cfs","Water Delivery","HD","CMIP5",2030,"Baseline",187.6871,-7.76499823376246
"Mean Annual Scott Flow",588.4362,"cfs","Water Delivery","HD","CMIP5",2030,"Baseline",668.7854,-12.0141976783584
"Mean Annual MWAT",80.5357,"degF","Water Quality","HD","CMIP5",2030,"Baseline",75.7443,6.32575652557355
"Mean exceedence of MWAT - Poor",16.8557,"degF","Water Quality","HD","CMIP5",2030,"Baseline",12.0643,39.7155243155426
"Frequency Meeting Dry Year Fish Targets Scott",64.5523,"% of Days","Ecological Resources","HD","CMIP5",2030,"Add Flow
10%",70.5029,-8.44022018952411
"Frequency Meeting Dry Year Fish Targets Shasta",51.9668,"% of Days","Ecological Resources","HD","CMIP5",2030,"Add Flow
10%",56.8769,-8.63285446288388
"Mean Percent of Annual Refuge Demand",12.4718,"% of Years","Ecological Resources","HD","CMIP5",2030,"Add Flow
10%",NA,NA
"Mean Annual Hydropower Generated (MW)",23340.3422,"MW","Hydropower","HD","CMIP5",2030,"Add Flow
10%",26741.1142,-12.7173908108885
"Boyle Mean Spill Volume per year",183.0942,"KAF","Hydropower","HD","CMIP5",2030,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Volume per year",203.2339,"KAF","Hydropower","HD","CMIP5",2030,"Add Flow
10%",NA,NA
"Iron Gate Mean Spill Volume per year",456.6857,"KAF","Hydropower","HD","CMIP5",2030,"Add Flow
10%",NA,NA
"Boyle Mean Spill Days per year",156.8,"days","Hydropower","HD","CMIP5",2030,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Days per year",37.1,"days","Hydropower","HD","CMIP5",2030,"Add Flow
10%",NA,NA
"IronGate Mean Spill Days per year",115,"days","Hydropower","HD","CMIP5",2030,"Add Flow
10%",NA,NA
"Freq of UKL Flood Control Release",38.213,"Percent of Days","Flood Control","HD","CMIP5",2030,"Add Flow
10%",44.1179,-13.384363262984
"Mean Ann UKL Flood Control Release Volume",215.3164,"KAF","Flood Control","HD","CMIP5",2030,"Add Flow
10%",224.4786,-4.08154719425371
"KenoReach Mean Ann Fishing Days",266.5333,"days","Recreation Fishing","HD","CMIP5",2030,"Add Flow
10%",247.6667,7.61773787109854
"BoyleReach Mean Ann Fishing Days",193.7667,"days","Recreation Fishing","HD","CMIP5",2030,"Add Flow
10%",154.9,25.0914783731439
"HellsCornerReach Mean Ann Fishing Days",271.5667,"days","Recreation Fishing","HD","CMIP5",2030,"Add Flow
10%",220.4333,23.1967674575484
"IGScottReach Mean Ann Fishing Days",287.5333,"days","Recreation Fishing","HD","CMIP5",2030,"Add Flow
10%",274.7333,4.65906389942537
"ScottSalmonReach Mean Ann Fishing Days",210.2333,"days","Recreation Fishing","HD","CMIP5",2030,"Add Flow
10%",183.9667,14.2779100782913
"SalmonTrinityReach Mean Ann Fishing Days",242.2667,"days","Recreation Fishing","HD","CMIP5",2030,"Add Flow
10%",213.9333,13.2440344724267
"TrinityOceanReach Mean Ann Fishing Days",273.9667,"days","Recreation Fishing","HD","CMIP5",2030,"Add Flow
10%",252.9333,8.31578918236547
