"measure","value","units","category","scenario","climset","period","strategy","value_hist","pctchange"
"KenoReach Mean Ann Fishing Days",210.1667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce ET 50%",247.6667,-15.1413169392575
"BoyleReach Mean Ann Fishing Days",134.5,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce ET 50%",154.9,-13.1697869593286
"HellsCornerReach Mean Ann Fishing Days",230.2667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce ET 50%",220.4333,4.46094124617287
"IGScottReach Mean Ann Fishing Days",262.2667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce ET 50%",274.7333,-4.53770984442001
"ScottSalmonReach Mean Ann Fishing Days",194.7333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce ET 50%",183.9667,5.85247221372129
"SalmonTrinityReach Mean Ann Fishing Days",221.9333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce ET 50%",213.9333,3.73948328754804
"TrinityOceanReach Mean Ann Fishing Days",251.4,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce ET 50%",252.9333,-0.606207249104802
"KenoReach Mean Ann Boating Days",184.8333,"days","Recreation Boating","HW","CMIP3",2070,"Reduce ET 50%",171.8,7.58632130384167
"BoyleReach Mean Ann Boating Days",54.4667,"days","Recreation Boating","HW","CMIP3",2070,"Reduce ET 50%",59,-7.68355932203389
"HellsCornerReach Mean Ann Boating Days",171.2,"days","Recreation Boating","HW","CMIP3",2070,"Reduce ET 50%",256,-33.125
"IGScottReach Mean Ann Boating Days",262.2667,"days","Recreation Boating","HW","CMIP3",2070,"Reduce ET 50%",274.7333,-4.53770984442001
"ScottSalmonReach Mean Ann Boating Days",241.2,"days","Recreation Boating","HW","CMIP3",2070,"Reduce ET 50%",249.2333,-3.22320492486358
"SalmonTrinityReach Mean Ann Boating Days",221.9333,"days","Recreation Boating","HW","CMIP3",2070,"Reduce ET 50%",213.9333,3.73948328754804
"TrinityOceanReach Mean Ann Boating Days",251.4,"days","Recreation Boating","HW","CMIP3",2070,"Reduce ET 50%",252.9333,-0.606207249104802
"Mean Project Supply (Apr-Sep)",366.955,"KAF","Water Delivery","HW","CMIP3",2070,"Reduce ET 50%",361.3104,1.56225782595795
"Mean Annual UKL Stg and Inflow",1486.8628,"KAF","Water Delivery","HW","CMIP3",2070,"Reduce ET 50%",1377.9978,7.90023031967105
"Mean Annual Shasta Flow",210.436,"cfs","Water Delivery","HW","CMIP3",2070,"Reduce ET 50%",187.6871,12.1206518721852
"Mean Annual Scott Flow",826.6372,"cfs","Water Delivery","HW","CMIP3",2070,"Reduce ET 50%",668.7854,23.6027580745632
"Mean Annual MWAT",82.25,"degF","Water Quality","HW","CMIP3",2070,"Reduce ET 50%",75.7443,8.58902914146676
"Mean exceedence of MWAT - Poor",18.57,"degF","Water Quality","HW","CMIP3",2070,"Reduce ET 50%",12.0643,53.9252173768888
"Frequency Meeting Dry Year Fish Targets Scott",69.4077,"% of Days","Ecological Resources","HW","CMIP3",2070,"Add 30KAF",70.5029,-1.55341127811763
"Frequency Meeting Dry Year Fish Targets Shasta",58.0268,"% of Days","Ecological Resources","HW","CMIP3",2070,"Add 30KAF",56.8769,2.02173465853449
"Mean Annual Water Delivery to LKNWR",15.1868,"KAF","Ecological Resources","HW","CMIP3",2070,"Add 30KAF",24.6143,-38.3009063836875
"Mean Annual Hydropower Generated (MW)",26848.6051,"MW","Hydropower","HW","CMIP3",2070,"Add 30KAF",26741.1142,0.401968665912958
"Boyle Mean Spill Volume per Year",555.771,"KAF","Hydropower","HW","CMIP3",2070,"Add 30KAF",163.0602,240.837923662549
"Copco1 Mean Spill Volume per Year",579.4563,"KAF","Hydropower","HW","CMIP3",2070,"Add 30KAF",186.3791,210.901973450886
"Iron Gate Mean Spill Volume per Year",948.9509,"KAF","Hydropower","HW","CMIP3",2070,"Add 30KAF",533.8601,77.7527296008823
"Boyle Mean Spill Days per Year",239.8667,"days","Hydropower","HW","CMIP3",2070,"Add 30KAF",105.9,126.503021718602
"Copco1 Mean Spill Days per Year",63.5,"days","Hydropower","HW","CMIP3",2070,"Add 30KAF",42.8,48.3644859813084
"Iron Gate Mean Spill Days per Year",152.3667,"days","Hydropower","HW","CMIP3",2070,"Add 30KAF",170.3333,-10.5479081307061
"Freq of UKL Flood Control Release",44.3004,"Percent of Days","Flood Control","HW","CMIP3",2070,"Add 30KAF",44.1179,0.413664294991386
"Mean Ann UKL Flood Control Release Volume",460.4339,"KAF","Flood Control","HW","CMIP3",2070,"Add 30KAF",224.4786,105.112603161281
"KenoReach Mean Ann Fishing Days",210.2,"days","Recreation Fishing","HW","CMIP3",2070,"Add 30KAF",247.6667,-15.1278714498154
"BoyleReach Mean Ann Fishing Days",134.6333,"days","Recreation Fishing","HW","CMIP3",2070,"Add 30KAF",154.9,-13.0837314396385
"HellsCornerReach Mean Ann Fishing Days",230.5667,"days","Recreation Fishing","HW","CMIP3",2070,"Add 30KAF",220.4333,4.59703683608601
"IGScottReach Mean Ann Fishing Days",262.0667,"days","Recreation Fishing","HW","CMIP3",2070,"Add 30KAF",274.7333,-4.61050771784853
"ScottSalmonReach Mean Ann Fishing Days",194.6667,"days","Recreation Fishing","HW","CMIP3",2070,"Add 30KAF",183.9667,5.81627000973545
"SalmonTrinityReach Mean Ann Fishing Days",221.7,"days","Recreation Fishing","HW","CMIP3",2070,"Add 30KAF",213.9333,3.63043060617491
"TrinityOceanReach Mean Ann Fishing Days",251.5667,"days","Recreation Fishing","HW","CMIP3",2070,"Add 30KAF",252.9333,-0.540300545637923
"KenoReach Mean Ann Boating Days",184.7667,"days","Recreation Boating","HW","CMIP3",2070,"Add 30KAF",171.8,7.5475552968568
"BoyleReach Mean Ann Boating Days",54.2,"days","Recreation Boating","HW","CMIP3",2070,"Add 30KAF",59,-8.13559322033898
"HellsCornerReach Mean Ann Boating Days",171.1667,"days","Recreation Boating","HW","CMIP3",2070,"Add 30KAF",256,-33.1380078125
"IGScottReach Mean Ann Boating Days",262.0667,"days","Recreation Boating","HW","CMIP3",2070,"Add 30KAF",274.7333,-4.61050771784853
"ScottSalmonReach Mean Ann Boating Days",241,"days","Recreation Boating","HW","CMIP3",2070,"Add 30KAF",249.2333,-3.30345102359918
"SalmonTrinityReach Mean Ann Boating Days",221.7,"days","Recreation Boating","HW","CMIP3",2070,"Add 30KAF",213.9333,3.63043060617491
"TrinityOceanReach Mean Ann Boating Days",251.5667,"days","Recreation Boating","HW","CMIP3",2070,"Add 30KAF",252.9333,-0.540300545637923
"Mean Project Supply (Apr-Sep)",368.4573,"KAF","Water Delivery","HW","CMIP3",2070,"Add 30KAF",361.3104,1.97804989836992
"Mean Annual UKL Stg and Inflow",1493.4473,"KAF","Water Delivery","HW","CMIP3",2070,"Add 30KAF",1377.9978,8.37806127121538
"Mean Annual Shasta Flow",208.8059,"cfs","Water Delivery","HW","CMIP3",2070,"Add 30KAF",187.6871,11.2521318726753
"Mean Annual Scott Flow",823.2052,"cfs","Water Delivery","HW","CMIP3",2070,"Add 30KAF",668.7854,23.0895889772713
"Mean Annual MWAT",82.2534,"degF","Water Quality","HW","CMIP3",2070,"Add 30KAF",75.7443,8.59351792808172
"Mean exceedence of MWAT - Poor",18.5734,"degF","Water Quality","HW","CMIP3",2070,"Add 30KAF",12.0643,53.9533996999412
"Frequency Meeting Dry Year Fish Targets Scott",70.8406,"% of Days","Ecological Resources","HW","CMIP5",2030,"Baseline",70.5029,0.478987389171223
"Frequency Meeting Dry Year Fish Targets Shasta",59.9708,"% of Days","Ecological Resources","HW","CMIP5",2030,"Baseline",56.8769,5.43964245590037
"Mean Annual Water Delivery to LKNWR",13.3284,"KAF","Ecological Resources","HW","CMIP5",2030,"Baseline",24.6143,-45.8509890592054
"Mean Annual Hydropower Generated (MW)",26524.9381,"MW","Hydropower","HW","CMIP5",2030,"Baseline",26741.1142,-0.80840348828846
"Boyle Mean Spill Volume per Year",393.6513,"KAF","Hydropower","HW","CMIP5",2030,"Baseline",163.0602,141.414704507906
"Copco1 Mean Spill Volume per Year",428.1692,"KAF","Hydropower","HW","CMIP5",2030,"Baseline",186.3791,129.730264820465
"Iron Gate Mean Spill Volume per Year",781.547,"KAF","Hydropower","HW","CMIP5",2030,"Baseline",533.8601,46.3954695246938
"Boyle Mean Spill Days per Year",222.6333,"days","Hydropower","HW","CMIP5",2030,"Baseline",105.9,110.229745042493
"Copco1 Mean Spill Days per Year",57.2667,"days","Hydropower","HW","CMIP5",2030,"Baseline",42.8,33.8007009345794
"Iron Gate Mean Spill Days per Year",141.7333,"days","Hydropower","HW","CMIP5",2030,"Baseline",170.3333,-16.790609939454
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","HW","CMIP5",2030,"Baseline",44.1179,0
"Mean Ann UKL Flood Control Release Volume",366.1015,"KAF","Flood Control","HW","CMIP5",2030,"Baseline",224.4786,63.089711001405
"KenoReach Mean Ann Fishing Days",226.8333,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline",247.6667,-8.41186966192871
"BoyleReach Mean Ann Fishing Days",143.5333,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline",154.9,-7.33808908973532
"HellsCornerReach Mean Ann Fishing Days",243.9,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline",220.4333,10.6457145993822
"IGScottReach Mean Ann Fishing Days",270.2,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline",274.7333,-1.65007299806758
"ScottSalmonReach Mean Ann Fishing Days",185.2333,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline",183.9667,0.688494167694485
"SalmonTrinityReach Mean Ann Fishing Days",214.5667,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline",213.9333,0.296073589291613
"TrinityOceanReach Mean Ann Fishing Days",241.6667,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline",252.9333,-4.45437591649657
"KenoReach Mean Ann Boating Days",188.7667,"days","Recreation Boating","HW","CMIP5",2030,"Baseline",171.8,9.87584400465656
"BoyleReach Mean Ann Boating Days",52.9,"days","Recreation Boating","HW","CMIP5",2030,"Baseline",59,-10.3389830508475
"HellsCornerReach Mean Ann Boating Days",181.1,"days","Recreation Boating","HW","CMIP5",2030,"Baseline",256,-29.2578125
"IGScottReach Mean Ann Boating Days",270.2,"days","Recreation Boating","HW","CMIP5",2030,"Baseline",274.7333,-1.65007299806758
"ScottSalmonReach Mean Ann Boating Days",237.3333,"days","Recreation Boating","HW","CMIP5",2030,"Baseline",249.2333,-4.77464287476834
"SalmonTrinityReach Mean Ann Boating Days",214.5667,"days","Recreation Boating","HW","CMIP5",2030,"Baseline",213.9333,0.296073589291613
"TrinityOceanReach Mean Ann Boating Days",241.6667,"days","Recreation Boating","HW","CMIP5",2030,"Baseline",252.9333,-4.45437591649657
"Mean Project Supply (Apr-Sep)",369.2656,"KAF","Water Delivery","HW","CMIP5",2030,"Baseline",361.3104,2.20176335915047
"Mean Annual UKL Stg and Inflow",1461.5291,"KAF","Water Delivery","HW","CMIP5",2030,"Baseline",1377.9978,6.06178761678719
"Mean Annual Shasta Flow",209.9437,"cfs","Water Delivery","HW","CMIP5",2030,"Baseline",187.6871,11.8583536108768
"Mean Annual Scott Flow",806.3598,"cfs","Water Delivery","HW","CMIP5",2030,"Baseline",668.7854,20.5707839913969
"Mean Annual MWAT",80.5229,"degF","Water Quality","HW","CMIP5",2030,"Baseline",75.7443,6.30885756419957
"Mean exceedence of MWAT - Poor",16.8429,"degF","Water Quality","HW","CMIP5",2030,"Baseline",12.0643,39.6094261581691
"Frequency Meeting Dry Year Fish Targets Scott",70.4572,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce ET 30%",70.5029,-0.0648200286796664
"Frequency Meeting Dry Year Fish Targets Shasta",59.0581,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce ET 30%",56.8769,3.83494881050128
"Mean Annual Water Delivery to LKNWR",14.6239,"KAF","Ecological Resources","HW","CMIP5",2030,"Reduce ET 30%",24.6143,-40.5877883994263
"Mean Annual Hydropower Generated (MW)",26638.2451,"MW","Hydropower","HW","CMIP5",2030,"Reduce ET 30%",26741.1142,-0.384685167680859
"Boyle Mean Spill Volume per Year",395.6587,"KAF","Hydropower","HW","CMIP5",2030,"Reduce ET 30%",163.0602,142.645783581769
"Copco1 Mean Spill Volume per Year",430.1266,"KAF","Hydropower","HW","CMIP5",2030,"Reduce ET 30%",186.3791,130.780489872523
"Iron Gate Mean Spill Volume per Year",785.6318,"KAF","Hydropower","HW","CMIP5",2030,"Reduce ET 30%",533.8601,47.1606138012562
"Boyle Mean Spill Days per Year",222.8333,"days","Hydropower","HW","CMIP5",2030,"Reduce ET 30%",105.9,110.418602455146
"Copco1 Mean Spill Days per Year",57.7333,"days","Hydropower","HW","CMIP5",2030,"Reduce ET 30%",42.8,34.8908878504673
"Iron Gate Mean Spill Days per Year",142.5667,"days","Hydropower","HW","CMIP5",2030,"Reduce ET 30%",170.3333,-16.3013339141554
"Freq of UKL Flood Control Release",43.9445,"Percent of Days","Flood Control","HW","CMIP5",2030,"Reduce ET 30%",44.1179,-0.393037746583588
"Mean Ann UKL Flood Control Release Volume",367.6934,"KAF","Flood Control","HW","CMIP5",2030,"Reduce ET 30%",224.4786,63.798865459781
"KenoReach Mean Ann Fishing Days",225.6,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 30%",247.6667,-8.90983729342701
"BoyleReach Mean Ann Fishing Days",141.9,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 30%",154.9,-8.39251129761136
"HellsCornerReach Mean Ann Fishing Days",243.1333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 30%",220.4333,10.2978996367609
"IGScottReach Mean Ann Fishing Days",270.3667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 30%",274.7333,-1.58939597056491
"ScottSalmonReach Mean Ann Fishing Days",184.9667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 30%",183.9667,0.543576636423875
"SalmonTrinityReach Mean Ann Fishing Days",214.4333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 30%",213.9333,0.233717705471752
"TrinityOceanReach Mean Ann Fishing Days",241.5667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 30%",252.9333,-4.49391203135372
"KenoReach Mean Ann Boating Days",189.1333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 30%",171.8,10.0892316647264
"BoyleReach Mean Ann Boating Days",53.7,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 30%",59,-8.98305084745762
"HellsCornerReach Mean Ann Boating Days",182.4333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 30%",256,-28.7369921875
"IGScottReach Mean Ann Boating Days",270.3667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 30%",274.7333,-1.58939597056491
"ScottSalmonReach Mean Ann Boating Days",236.9333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 30%",249.2333,-4.93513507223955
"SalmonTrinityReach Mean Ann Boating Days",214.4333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 30%",213.9333,0.233717705471752
"TrinityOceanReach Mean Ann Boating Days",241.5667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 30%",252.9333,-4.49391203135372
"Mean Project Supply (Apr-Sep)",369.9975,"KAF","Water Delivery","HW","CMIP5",2030,"Reduce ET 30%",361.3104,2.40433156643152
"Mean Annual UKL Stg and Inflow",1467.6966,"KAF","Water Delivery","HW","CMIP5",2030,"Reduce ET 30%",1377.9978,6.50935727183308
"Mean Annual Shasta Flow",210.7404,"cfs","Water Delivery","HW","CMIP5",2030,"Reduce ET 30%",187.6871,12.2828367000183
"Mean Annual Scott Flow",808.0506,"cfs","Water Delivery","HW","CMIP5",2030,"Reduce ET 30%",668.7854,20.8236005152026
"Mean Annual MWAT",80.5229,"degF","Water Quality","HW","CMIP5",2030,"Reduce ET 30%",75.7443,6.30885756419957
"Mean exceedence of MWAT - Poor",16.8429,"degF","Water Quality","HW","CMIP5",2030,"Reduce ET 30%",12.0643,39.6094261581691
"Frequency Meeting Dry Year Fish Targets Scott",69.7545,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce ET 50%",70.5029,-1.06151661846535
"Frequency Meeting Dry Year Fish Targets Shasta",57.8899,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce ET 50%",56.8769,1.78103940263973
"Mean Annual Water Delivery to LKNWR",15.9107,"KAF","Ecological Resources","HW","CMIP5",2030,"Reduce ET 50%",24.6143,-35.3599330470499
"Mean Annual Hydropower Generated (MW)",26720.2567,"MW","Hydropower","HW","CMIP5",2030,"Reduce ET 50%",26741.1142,-0.0779978719061686
"Boyle Mean Spill Volume per Year",396.9052,"KAF","Hydropower","HW","CMIP5",2030,"Reduce ET 50%",163.0602,143.410225180639
"Copco1 Mean Spill Volume per Year",431.5402,"KAF","Hydropower","HW","CMIP5",2030,"Reduce ET 50%",186.3791,131.538944012499
"Iron Gate Mean Spill Volume per Year",788.6034,"KAF","Hydropower","HW","CMIP5",2030,"Reduce ET 50%",533.8601,47.7172390294761
"Boyle Mean Spill Days per Year",222.9333,"days","Hydropower","HW","CMIP5",2030,"Reduce ET 50%",105.9,110.513031161473
"Copco1 Mean Spill Days per Year",57.9333,"days","Hydropower","HW","CMIP5",2030,"Reduce ET 50%",42.8,35.3581775700935
"Iron Gate Mean Spill Days per Year",143.4333,"days","Hydropower","HW","CMIP5",2030,"Reduce ET 50%",170.3333,-15.7925666913046
"Freq of UKL Flood Control Release",43.6251,"Percent of Days","Flood Control","HW","CMIP5",2030,"Reduce ET 50%",44.1179,-1.11700692916026
"Mean Ann UKL Flood Control Release Volume",368.9034,"KAF","Flood Control","HW","CMIP5",2030,"Reduce ET 50%",224.4786,64.3378923425217
"KenoReach Mean Ann Fishing Days",225.0333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 50%",247.6667,-9.13865287501307
"BoyleReach Mean Ann Fishing Days",140.6333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 50%",154.9,-9.21026468689478
"HellsCornerReach Mean Ann Fishing Days",242.5333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 50%",220.4333,10.0257084569346
"IGScottReach Mean Ann Fishing Days",269.6667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 50%",274.7333,-1.84418852756473
"ScottSalmonReach Mean Ann Fishing Days",184.8333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 50%",183.9667,0.471063513124933
"SalmonTrinityReach Mean Ann Fishing Days",214.3333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 50%",213.9333,0.186974164377404
"TrinityOceanReach Mean Ann Fishing Days",241.4667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce ET 50%",252.9333,-4.53344814621088
"KenoReach Mean Ann Boating Days",190.2,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 50%",171.8,10.7101280558789
"BoyleReach Mean Ann Boating Days",53.6667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 50%",59,-9.03949152542373
"HellsCornerReach Mean Ann Boating Days",183.4333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 50%",256,-28.3463671875
"IGScottReach Mean Ann Boating Days",269.6667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 50%",274.7333,-1.84418852756473
"ScottSalmonReach Mean Ann Boating Days",236.7,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 50%",249.2333,-5.02874214641463
"SalmonTrinityReach Mean Ann Boating Days",214.3333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 50%",213.9333,0.186974164377404
"TrinityOceanReach Mean Ann Boating Days",241.4667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce ET 50%",252.9333,-4.53344814621088
"Mean Project Supply (Apr-Sep)",370.5856,"KAF","Water Delivery","HW","CMIP5",2030,"Reduce ET 50%",361.3104,2.56710019971747
"Mean Annual UKL Stg and Inflow",1472.1508,"KAF","Water Delivery","HW","CMIP5",2030,"Reduce ET 50%",1377.9978,6.83259436263249
"Mean Annual Shasta Flow",211.4855,"cfs","Water Delivery","HW","CMIP5",2030,"Reduce ET 50%",187.6871,12.679827223075
"Mean Annual Scott Flow",809.4466,"cfs","Water Delivery","HW","CMIP5",2030,"Reduce ET 50%",668.7854,21.0323371293692
"Mean Annual MWAT",80.5314,"degF","Water Quality","HW","CMIP5",2030,"Reduce ET 50%",75.7443,6.32007953073698
"Mean exceedence of MWAT - Poor",16.8514,"degF","Water Quality","HW","CMIP5",2030,"Reduce ET 50%",12.0643,39.6798819657999
"Frequency Meeting Dry Year Fish Targets Scott",70.8406,"% of Days","Ecological Resources","HW","CMIP5",2030,"Add 30KAF",70.5029,0.478987389171223
"Frequency Meeting Dry Year Fish Targets Shasta",59.9708,"% of Days","Ecological Resources","HW","CMIP5",2030,"Add 30KAF",56.8769,5.43964245590037
"Mean Annual Water Delivery to LKNWR",14.0491,"KAF","Ecological Resources","HW","CMIP5",2030,"Add 30KAF",24.6143,-42.9230162954055
"Mean Annual Hydropower Generated (MW)",26870.4689,"MW","Hydropower","HW","CMIP5",2030,"Add 30KAF",26741.1142,0.483729657008831
"Boyle Mean Spill Volume per Year",405.2618,"KAF","Hydropower","HW","CMIP5",2030,"Add 30KAF",163.0602,148.535080908769
"Copco1 Mean Spill Volume per Year",440.387,"KAF","Hydropower","HW","CMIP5",2030,"Add 30KAF",186.3791,136.285613569333
"Iron Gate Mean Spill Volume per Year",801.9168,"KAF","Hydropower","HW","CMIP5",2030,"Add 30KAF",533.8601,50.2110384349758
"Boyle Mean Spill Days per Year",223.4333,"days","Hydropower","HW","CMIP5",2030,"Add 30KAF",105.9,110.985174693107
"Copco1 Mean Spill Days per Year",59.1,"days","Hydropower","HW","CMIP5",2030,"Add 30KAF",42.8,38.0841121495327
"Iron Gate Mean Spill Days per Year",145.1667,"days","Hydropower","HW","CMIP5",2030,"Add 30KAF",170.3333,-14.7749148287505
"Freq of UKL Flood Control Release",44.9302,"Percent of Days","Flood Control","HW","CMIP5",2030,"Add 30KAF",44.1179,1.84120277710408
"Mean Ann UKL Flood Control Release Volume",377.0712,"KAF","Flood Control","HW","CMIP5",2030,"Add 30KAF",224.4786,67.9764574440503
"KenoReach Mean Ann Fishing Days",223.8,"days","Recreation Fishing","HW","CMIP5",2030,"Add 30KAF",247.6667,-9.63662050651137
"BoyleReach Mean Ann Fishing Days",139.1667,"days","Recreation Fishing","HW","CMIP5",2030,"Add 30KAF",154.9,-10.1570690768238
"HellsCornerReach Mean Ann Fishing Days",241.3,"days","Recreation Fishing","HW","CMIP5",2030,"Add 30KAF",220.4333,9.46621948680168
"IGScottReach Mean Ann Fishing Days",269.2,"days","Recreation Fishing","HW","CMIP5",2030,"Add 30KAF",274.7333,-2.01406236521019
"ScottSalmonReach Mean Ann Fishing Days",184.7667,"days","Recreation Fishing","HW","CMIP5",2030,"Add 30KAF",183.9667,0.43486130913909
"SalmonTrinityReach Mean Ann Fishing Days",214.6,"days","Recreation Fishing","HW","CMIP5",2030,"Add 30KAF",213.9333,0.31163918847603
"TrinityOceanReach Mean Ann Fishing Days",241.5667,"days","Recreation Fishing","HW","CMIP5",2030,"Add 30KAF",252.9333,-4.49391203135372
"KenoReach Mean Ann Boating Days",190.6333,"days","Recreation Boating","HW","CMIP5",2030,"Add 30KAF",171.8,10.9623399301513
"BoyleReach Mean Ann Boating Days",53.9,"days","Recreation Boating","HW","CMIP5",2030,"Add 30KAF",59,-8.64406779661017
"HellsCornerReach Mean Ann Boating Days",185.4,"days","Recreation Boating","HW","CMIP5",2030,"Add 30KAF",256,-27.578125
"IGScottReach Mean Ann Boating Days",269.2,"days","Recreation Boating","HW","CMIP5",2030,"Add 30KAF",274.7333,-2.01406236521019
"ScottSalmonReach Mean Ann Boating Days",236.6333,"days","Recreation Boating","HW","CMIP5",2030,"Add 30KAF",249.2333,-5.05550422034296
"SalmonTrinityReach Mean Ann Boating Days",214.6,"days","Recreation Boating","HW","CMIP5",2030,"Add 30KAF",213.9333,0.31163918847603
"TrinityOceanReach Mean Ann Boating Days",241.5667,"days","Recreation Boating","HW","CMIP5",2030,"Add 30KAF",252.9333,-4.49391203135372
"Mean Project Supply (Apr-Sep)",372.5027,"KAF","Water Delivery","HW","CMIP5",2030,"Add 30KAF",361.3104,3.09769660657429
"Mean Annual UKL Stg and Inflow",1481.3384,"KAF","Water Delivery","HW","CMIP5",2030,"Add 30KAF",1377.9978,7.4993298247646
"Mean Annual Shasta Flow",209.9437,"cfs","Water Delivery","HW","CMIP5",2030,"Add 30KAF",187.6871,11.8583536108768
"Mean Annual Scott Flow",806.3598,"cfs","Water Delivery","HW","CMIP5",2030,"Add 30KAF",668.7854,20.5707839913969
"Mean Annual MWAT",80.5451,"degF","Water Quality","HW","CMIP5",2030,"Add 30KAF",75.7443,6.33816670033258
"Mean exceedence of MWAT - Poor",16.8651,"degF","Water Quality","HW","CMIP5",2030,"Add 30KAF",12.0643,39.7934401498637
"Frequency Meeting Dry Year Fish Targets Scott",67.1899,"% of Days","Ecological Resources","HW","CMIP5",2070,"Baseline",70.5029,-4.69909748393329
"Frequency Meeting Dry Year Fish Targets Shasta",56.5575,"% of Days","Ecological Resources","HW","CMIP5",2070,"Baseline",56.8769,-0.561563657653637
"Mean Annual Water Delivery to LKNWR",12.208,"KAF","Ecological Resources","HW","CMIP5",2070,"Baseline",24.6143,-50.4028146240194
"Mean Annual Hydropower Generated (MW)",26283.7877,"MW","Hydropower","HW","CMIP5",2070,"Baseline",26741.1142,-1.7101998689344
"Boyle Mean Spill Volume per Year",582.7187,"KAF","Hydropower","HW","CMIP5",2070,"Baseline",163.0602,257.364151399299
"Copco1 Mean Spill Volume per Year",583.8971,"KAF","Hydropower","HW","CMIP5",2070,"Baseline",186.3791,213.284644040024
"Iron Gate Mean Spill Volume per Year",951.7957,"KAF","Hydropower","HW","CMIP5",2070,"Baseline",533.8601,78.2856032882023
"Boyle Mean Spill Days per Year",253.1,"days","Hydropower","HW","CMIP5",2070,"Baseline",105.9,138.999055712937
"Copco1 Mean Spill Days per Year",62.4333,"days","Hydropower","HW","CMIP5",2070,"Baseline",42.8,45.8721962616823
"Iron Gate Mean Spill Days per Year",151.8667,"days","Hydropower","HW","CMIP5",2070,"Baseline",170.3333,-10.8414502625147
"Freq of UKL Flood Control Release",43.9263,"Percent of Days","Flood Control","HW","CMIP5",2070,"Baseline",44.1179,-0.434290843399167
"Mean Ann UKL Flood Control Release Volume",448.0705,"KAF","Flood Control","HW","CMIP5",2070,"Baseline",224.4786,99.6049957546064
"KenoReach Mean Ann Fishing Days",207.7333,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",247.6667,-16.1238470896572
"BoyleReach Mean Ann Fishing Days",138,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",154.9,-10.9102646868948
"HellsCornerReach Mean Ann Fishing Days",229.3,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",220.4333,4.02239589027611
"IGScottReach Mean Ann Fishing Days",247.0667,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",274.7333,-10.0703482249876
"ScottSalmonReach Mean Ann Fishing Days",189.6333,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",183.9667,3.08023136795952
"SalmonTrinityReach Mean Ann Fishing Days",220,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",213.9333,2.83579040757096
"TrinityOceanReach Mean Ann Fishing Days",246.7667,"days","Recreation Fishing","HW","CMIP5",2070,"Baseline",252.9333,-2.43803405878151
